,id,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id.1,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,label,avg_sentence_length,avg_word_length,characer_count,is_quoted_retweet,number_all_caps,random_caps,is_mention,comma,period,semicolon,colon,qmark,emark,asterisk,ellipsis,period_of_day,weekday,starts_with_I,crooked,sleepy,dishonest,irrelevant,hypocrite,fake,racist,anti-semitic,hater,disgraced,terrible,nasty,lying,lightweight,wacky,neurotic,nut job,nutjob,dope,clown,dummy,sad,disaster,little,crying,no clue,stupid,loser,dying,failed,failing,weak,crazy,phony,media,overrated,wow,begged,beg,dirty,fraud,bimbo,enjoy,hillary,jeb,ted,biden,obama,pocahontas,puppet,lyin,corrupt,dopey,sloppy,low iq,low i.q.,psycho,goofball,lowlife,slippery,@barackobama,(we),make america great again,makeamericagreatagain,maga,#trump,democrat,foxnews,cnn,msnbc,fakenews,fake news,clinton,americafirst,america first,trump,make america safe again,@realdonaldtrump,a.m.,p.m.,join me,neg,neu,pos,compound,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
10,10,Way to go @serenawilliams  - you are a true champion. Proud of you!,False,25035,,7/9/2016 15:18,False,,751798000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5710,False,False,,,1,6.5,4.0,66,0,0,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.442,0.558,1.8777,"13086   NaN
Name: anger, dtype: float64","13086   NaN
Name: anticipation, dtype: float64","13086   NaN
Name: disgust, dtype: float64","13086   NaN
Name: fear, dtype: float64","13086   NaN
Name: joy, dtype: float64","13086   NaN
Name: negative, dtype: float64","13086   NaN
Name: positive, dtype: float64","13086   NaN
Name: sadness, dtype: float64","13086   NaN
Name: surprise, dtype: float64","13086   NaN
Name: trust, dtype: float64"
11,11,MAKE AMERICA SAFE AGAIN!  https://t.co/m0AJWlV8nm https://t.co/P0GleHEmJy,False,39088,,7/8/2016 23:26,False,,751558000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14639,False,False,,,-1,2.0,10.666666666666666,72,0,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.56,0.44,1.6027,"7611   NaN
Name: anger, dtype: float64","7611   NaN
Name: anticipation, dtype: float64","7611   NaN
Name: disgust, dtype: float64","7611   NaN
Name: fear, dtype: float64","7611   NaN
Name: joy, dtype: float64","7611   NaN
Name: negative, dtype: float64","7611   NaN
Name: positive, dtype: float64","7611   NaN
Name: sadness, dtype: float64","7611   NaN
Name: surprise, dtype: float64","7611   NaN
Name: trust, dtype: float64"
12,12,Isn't it sad that on a day of national tragedy Hillary Clinton is answering softball questions about her email lies on @CNN?,False,42313,,7/8/2016 21:31,False,,751529000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14074,False,False,,,-1,22.0,4.636363636363637,123,0,0,4,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.259,0.649,0.092,0.3146,"3166   NaN
Name: anger, dtype: float64","3166   NaN
Name: anticipation, dtype: float64","3166   NaN
Name: disgust, dtype: float64","3166   NaN
Name: fear, dtype: float64","3166   NaN
Name: joy, dtype: float64","3166   NaN
Name: negative, dtype: float64","3166   NaN
Name: positive, dtype: float64","3166   NaN
Name: sadness, dtype: float64","3166   NaN
Name: surprise, dtype: float64","3166   NaN
Name: trust, dtype: float64"
13,13,Due to the horrific events taking place in our country; I have decided to postpone my speech on economic opportunity- today in Miami.,False,40857,,7/8/2016 14:32,False,,751424000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8989,False,False,,,-1,23.0,4.782608695652174,132,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.676,0.1,0.4577,"4007   NaN
Name: anger, dtype: float64","4007   NaN
Name: anticipation, dtype: float64","4007   NaN
Name: disgust, dtype: float64","4007   NaN
Name: fear, dtype: float64","4007   NaN
Name: joy, dtype: float64","4007   NaN
Name: negative, dtype: float64","4007   NaN
Name: positive, dtype: float64","4007   NaN
Name: sadness, dtype: float64","4007   NaN
Name: surprise, dtype: float64","4007   NaN
Name: trust, dtype: float64"
14,14,Last night's horrific execution-style shootings of 12 Dallas law enforcement officers...https://t.co/mwzYU98yTt,False,19591,,7/8/2016 13:20,False,,751406000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7401,False,False,,,-1,4.333333333333333,8.818181818181818,110,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0.694,0.0,0.34030000000000005,"8397   NaN
Name: anger, dtype: float64","8397   NaN
Name: anticipation, dtype: float64","8397   NaN
Name: disgust, dtype: float64","8397   NaN
Name: fear, dtype: float64","8397   NaN
Name: joy, dtype: float64","8397   NaN
Name: negative, dtype: float64","8397   NaN
Name: positive, dtype: float64","8397   NaN
Name: sadness, dtype: float64","8397   NaN
Name: surprise, dtype: float64","8397   NaN
Name: trust, dtype: float64"
15,15,Prayers and condolences to all of the families who are so thoroughly devastated by the horrors we are all watching take place in our country,False,84236,,7/8/2016 11:02,False,,751371000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,28851,False,False,,,1,25.0,4.64,139,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.735,0.0,0.1492,"9592   NaN
Name: anger, dtype: float64","9592   NaN
Name: anticipation, dtype: float64","9592   NaN
Name: disgust, dtype: float64","9592   NaN
Name: fear, dtype: float64","9592   NaN
Name: joy, dtype: float64","9592   NaN
Name: negative, dtype: float64","9592   NaN
Name: positive, dtype: float64","9592   NaN
Name: sadness, dtype: float64","9592   NaN
Name: surprise, dtype: float64","9592   NaN
Name: trust, dtype: float64"
16,16,After today; Crooked Hillary can officially be called Lyin' Crooked Hillary.,False,54637,,7/8/2016 1:52,False,,751232000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,20210,False,False,,,1,11.0,5.909090909090909,75,0,0,6,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,"12835   NaN
Name: anger, dtype: float64","12835   NaN
Name: anticipation, dtype: float64","12835   NaN
Name: disgust, dtype: float64","12835   NaN
Name: fear, dtype: float64","12835   NaN
Name: joy, dtype: float64","12835   NaN
Name: negative, dtype: float64","12835   NaN
Name: positive, dtype: float64","12835   NaN
Name: sadness, dtype: float64","12835   NaN
Name: surprise, dtype: float64","12835   NaN
Name: trust, dtype: float64"
17,17,Thank you Speaker @PRyan!  #AmericaFirst #Trump2016  https://t.co/PPsyxGPdFc,False,14757,,7/7/2016 20:09,False,,751146000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4601,False,False,,,-1,2.6666666666666665,9.428571428571429,75,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.682,0.318,1.4199,"11783    0
Name: anger, dtype: int64","11783    0
Name: anticipation, dtype: int64","11783    0
Name: disgust, dtype: int64","11783    0
Name: fear, dtype: int64","11783    0
Name: joy, dtype: int64","11783    0
Name: negative, dtype: int64","11783    0
Name: positive, dtype: int64","11783    0
Name: sadness, dtype: int64","11783    0
Name: surprise, dtype: int64","11783    0
Name: trust, dtype: int64"
18,18,#MakeAmericaGreatAgain  https://t.co/fxlVgfAA1l,False,18399,,7/7/2016 20:06,False,,751145000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,6593,False,False,,,-1,1.5,22.0,47,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
19,19,Thank you Rep. Collins! #Trump2016 https://t.co/zkmPywMDxg,False,10670,,7/7/2016 20:04,False,,751145000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3330,False,False,,,-1,1.75,8.333333333333334,57,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.642,0.358,1.4199,0,0,0,0,0,0,0,0,0,0
20,20,Just leaving D.C. Had great meetings with Republicans in the House and Senate. Very interesting day! These are people who love our country!,False,27451,,7/7/2016 18:07,False,,751115000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6908,False,False,,,1,4.8,4.869565217391305,138,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.627,0.373,1.9165999999999999,"7813   NaN
Name: anger, dtype: float64","7813   NaN
Name: anticipation, dtype: float64","7813   NaN
Name: disgust, dtype: float64","7813   NaN
Name: fear, dtype: float64","7813   NaN
Name: joy, dtype: float64","7813   NaN
Name: negative, dtype: float64","7813   NaN
Name: positive, dtype: float64","7813   NaN
Name: sadness, dtype: float64","7813   NaN
Name: surprise, dtype: float64","7813   NaN
Name: trust, dtype: float64"
21,21,Great being in Cincinnati; Ohio last night- thank you! Off to Washington D.C. now. #Trump2016 #AmericaFirst https://t.co/sryJgRyd56,False,19774,,7/7/2016 11:33,False,,751016000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5012,False,False,,,-1,3.1666666666666665,6.470588235294118,130,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.685,0.315,1.784,0,0,0,0,0,0,0,0,0,0
22,22,Where is the outrage for this Disney book? Is this the 'Star of David' also?   Dishonest media! #Frozen https://t.co/4LJBpSm8xa,False,62121,,7/7/2016 1:34,False,,750865000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,26442,False,False,,,-1,4.0,5.421052631578948,126,0,0,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.31,0.69,0.0,0.17510000000000003,"1409   NaN
Name: anger, dtype: float64","1409   NaN
Name: anticipation, dtype: float64","1409   NaN
Name: disgust, dtype: float64","1409   NaN
Name: fear, dtype: float64","1409   NaN
Name: joy, dtype: float64","1409   NaN
Name: negative, dtype: float64","1409   NaN
Name: positive, dtype: float64","1409   NaN
Name: sadness, dtype: float64","1409   NaN
Name: surprise, dtype: float64","1409   NaN
Name: trust, dtype: float64"
